Date,Open,High,Low,Close
1/4/2023,16680.20508,16964.58594,16667.76367,16863.23828
1/5/2023,16863.47266,16884.02148,16790.2832,16836.73633
1/6/2023,16836.47266,16991.99414,16716.42188,16951.96875
1/7/2023,16952.11719,16975.01758,16914.19141,16955.07813
1/8/2023,16954.14648,17091.14453,16924.05078,17091.14453
1/9/2023,17093.99219,17389.95703,17093.99219,17196.55469
1/10/2023,17192.94922,17484.7207,17162.99023,17446.29297
1/11/2023,17446.35938,17934.89648,17337.99414,17934.89648
1/12/2023,18117.59375,19030.08789,17995.20313,18869.58789
1/13/2023,18868.90625,19964.32227,18753.16406,19909.57422
1/14/2023,19910.53711,21075.14258,19907.82813,20976.29883
1/15/2023,20977.48438,20993.74805,20606.98633,20880.79883
1/16/2023,20882.22461,21360.875,20715.74609,21169.63281
1/17/2023,21175.83398,21438.66016,20978.5332,21161.51953
1/18/2023,21161.05078,21564.50195,20541.54492,20688.78125
1/19/2023,20686.74609,21163.01172,20685.38086,21086.79297
1/20/2023,21085.37305,22692.35742,20919.12695,22676.55273
1/21/2023,22677.42773,23282.34766,22511.83398,22777.625
1/22/2023,22777.98633,23056.73047,22387.90039,22720.41602
1/23/2023,22721.08789,23126.48633,22654.30469,22934.43164
1/24/2023,22929.62695,23134.01172,22549.74414,22636.46875
1/25/2023,22639.26758,23722.09961,22406.07617,23117.85938
1/26/2023,23108.95508,23237.07813,22911.37305,23032.77734
1/27/2023,23030.7168,23417.7207,22654.59375,23078.72852
1/28/2023,23079.96484,23165.89648,22908.8457,23031.08984
1/29/2023,23031.44922,23919.89063,22985.07031,23774.56641
1/30/2023,23774.64844,23789.34766,22657.58203,22840.13867
1/31/2023,22840.79688,23225.02148,22765.56836,23139.2832
2/1/2023,23137.83594,23764.53906,22877.75,23723.76953
2/2/2023,23720.82422,24167.21094,23468.5957,23471.87109
2/3/2023,23469.41211,23678.10352,23279.95508,23449.32227
2/4/2023,23446.32031,23556.94922,23291.79492,23331.84766
2/5/2023,23332.24805,23423.43555,22841.75977,22955.66602
2/6/2023,22954.02148,23119.2793,22692.02539,22760.10938
2/7/2023,22757.26758,23310.97461,22756.25781,23264.29102
2/8/2023,23263.41602,23367.95898,22731.09766,22939.39844
2/9/2023,22946.56641,22996.4375,21773.97461,21819.03906
2/10/2023,21819.00586,21941.18555,21539.39258,21651.18359
2/11/2023,21651.8418,21891.41016,21618.44922,21870.875
2/12/2023,21870.90234,22060.99414,21682.82813,21788.20313
2/13/2023,21787,21898.41406,21460.08789,21808.10156
2/14/2023,21801.82227,22293.14063,21632.39453,22220.80469
2/15/2023,22220.58594,24307.8418,22082.76953,24307.8418
2/16/2023,24307.34961,25134.11719,23602.52344,23623.47461
2/17/2023,23621.2832,24924.04102,23460.75586,24565.60156
2/18/2023,24565.29688,24798.83594,24468.37305,24641.27734
2/19/2023,24640.02734,25093.05469,24327.64258,24327.64258
2/20/2023,24336.62305,25020.45898,23927.91016,24829.14844
2/21/2023,24833.04883,25126.85156,24200.36328,24436.35352
2/22/2023,24437.41797,24472.33984,23644.31836,24188.84375
2/23/2023,24190.71875,24572.08984,23693.91992,23947.49219
2/24/2023,23946.00781,24103.70508,23007.07227,23198.12695
2/25/2023,23200.125,23210.21094,22861.55859,23175.375
2/26/2023,23174.15039,23654.36719,23084.2207,23561.21289
2/27/2023,23561.45117,23857.89063,23205.87891,23522.87109
2/28/2023,23521.83789,23585.38477,23077.65039,23147.35352
3/1/2023,23150.92969,23880.63281,23088.62695,23646.55078
3/2/2023,23647.01953,23739.13867,23245.02148,23475.4668
3/3/2023,23476.63281,23479.34766,22213.23828,22362.67969
3/4/2023,22362.92383,22405.17773,22198.98047,22353.34961
3/5/2023,22354.14453,22613.68555,22307.14258,22435.51367
3/6/2023,22436.81641,22584.29297,22331.31445,22429.75781
3/7/2023,22428.32227,22527.41797,22011.26172,22219.76953
3/8/2023,22216.44141,22268.89648,21708.05078,21718.08008
3/9/2023,21720.08008,21802.7168,20210.30664,20363.02148
3/10/2023,20367.00195,20370.5957,19628.25391,20187.24414
3/11/2023,20187.87695,20792.52539,20068.66016,20632.41016
3/12/2023,20628.0293,22185.03125,20448.80664,22163.94922
3/13/2023,22156.40625,24550.83789,21918.19922,24197.5332
3/14/2023,24201.76563,26514.7168,24081.18359,24746.07422
3/15/2023,24770.92578,25240.61523,23964.91016,24375.96094
3/16/2023,24373.45703,25190.32617,24225.11133,25052.78906
3/17/2023,25055.12305,27787.8125,24955.16992,27423.92969
3/18/2023,27448.11719,27725.95313,26636.26172,26965.87891
3/19/2023,26969.50391,28440.56055,26907.7168,28038.67578
3/20/2023,28041.60156,28527.72461,27242.88086,27767.23633
3/21/2023,27768.39258,28439.5625,27439.64648,28175.81641
3/22/2023,28158.7207,28803.33594,26759.99609,27307.4375
3/23/2023,27301.95703,28729.84375,27183.36328,28333.97266
3/24/2023,28324.11133,28388.4375,27039.26563,27493.28516
3/25/2023,27487.33789,27791.82617,27196.23438,27494.70703
3/26/2023,27495.52344,28178.14453,27445.04688,27994.33008
3/27/2023,27994.06836,28037.92578,26606.68945,27139.88867
3/28/2023,27132.88867,27460.71875,26677.81836,27268.13086
3/29/2023,27267.03125,28619.54297,27259.66211,28348.44141
3/30/2023,28350.14063,29159.90234,27720.16016,28033.5625
3/31/2023,28032.26172,28639.89648,27583.71484,28478.48438
4/1/2023,28473.33203,28802.45703,28297.17188,28411.03516
4/2/2023,28462.8457,28518.95898,27884.08789,28199.30859
4/3/2023,28183.08008,28475.62305,27276.7207,27790.2207
4/4/2023,27795.27344,28433.74219,27681.30469,28168.08984
4/5/2023,28169.72656,28739.23828,27843.76367,28177.98438
4/6/2023,28175.22656,28178.38477,27738.75977,28044.14063
4/7/2023,28038.9668,28111.59375,27794.03125,27925.85938
4/8/2023,27920.51367,28159.86328,27883.38672,27947.79492
4/9/2023,27952.36719,28532.83008,27828.48047,28333.05078
4/10/2023,28336.02734,29771.46484,28189.27148,29652.98047
4/11/2023,29653.67969,30509.08398,29609.30078,30235.05859
4/12/2023,30231.58203,30462.48047,29725.57422,30139.05273
4/13/2023,29892.74023,30539.8457,29878.62305,30399.06641
4/14/2023,30409.5625,31005.60742,30044.49805,30485.69922
4/15/2023,30490.75,30601.74023,30245.88281,30318.49609
4/16/2023,30315.97656,30555.53711,30157.83203,30315.35547
4/17/2023,30317.14648,30319.19727,29275.37109,29445.04492
4/18/2023,29449.0918,30470.30273,29154.84961,30397.55273
4/19/2023,30394.1875,30411.05469,28669.89844,28822.67969
4/20/2023,28823.68359,29076.40039,28037.25781,28245.98828
4/21/2023,28249.23047,28349.96875,27177.36523,27276.91016
4/22/2023,27265.89453,27872.14258,27169.57031,27817.5
4/23/2023,27816.14453,27820.24414,27400.31445,27591.38477
4/24/2023,27591.73047,27979.98242,27070.84961,27525.33984
4/25/2023,27514.87305,28371.07813,27207.93164,28307.59766
4/26/2023,28300.05859,29995.83789,27324.54883,28422.70117
4/27/2023,28428.46484,29871.54688,28402.88672,29473.78711
4/28/2023,29481.01367,29572.79102,28929.60938,29340.26172
4/29/2023,29336.56641,29452.45508,29088.04297,29248.48828
4/30/2023,29245.51563,29952.0293,29114.02148,29268.80664
5/1/2023,29227.10352,29329.93555,27680.79297,28091.56836
5/2/2023,28087.17578,28881.29883,27924.12305,28680.53711
